Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,7.359900,7.359900,7.359900,7.359900,7.359900,0
2020-04-28,7.377400,7.377400,7.377400,7.377400,7.377400,0
2020-04-29,7.460300,7.460300,7.460300,7.460300,7.460300,0
2020-04-30,7.397400,7.397400,7.397400,7.397400,7.397400,0
2020-05-01,7.319300,7.319300,7.319300,7.319300,7.319300,0
2020-05-04,7.344100,7.344100,7.344100,7.344100,7.344100,0
2020-05-05,7.387200,7.387200,7.387200,7.387200,7.387200,0
2020-05-06,7.394000,7.394000,7.394000,7.394000,7.394000,0
2020-05-07,7.402300,7.402300,7.402300,7.402300,7.402300,0
2020-05-08,7.443500,7.443500,7.443500,7.443500,7.443500,0
2020-05-11,7.483000,7.483000,7.483000,7.483000,7.483000,0
2020-05-12,7.442200,7.442200,7.442200,7.442200,7.442200,0
2020-05-13,7.384700,7.384700,7.384700,7.384700,7.384700,0
2020-05-14,7.320300,7.320300,7.320300,7.320300,7.320300,0
2020-05-15,7.363700,7.363700,7.363700,7.363700,7.363700,0
2020-05-19,7.444700,7.444700,7.444700,7.444700,7.444700,0
2020-05-20,7.500900,7.500900,7.500900,7.500900,7.500900,0
2020-05-21,7.485100,7.485100,7.485100,7.485100,7.485100,0
2020-05-22,7.492800,7.492800,7.492800,7.492800,7.492800,0
2020-05-25,7.519300,7.519300,7.519300,7.519300,7.519300,0
2020-05-26,7.531200,7.531200,7.531200,7.531200,7.531200,0
2020-05-27,7.560400,7.560400,7.560400,7.560400,7.560400,0
2020-05-28,7.597300,7.597300,7.597300,7.597300,7.597300,0
2020-05-29,7.618400,7.618400,7.618400,7.618400,7.618400,0
2020-06-01,7.594500,7.594500,7.594500,7.594500,7.594500,0
2020-06-02,7.637100,7.637100,7.637100,7.637100,7.637100,0
2020-06-03,7.721600,7.721600,7.721600,7.721600,7.721600,0
2020-06-04,7.693000,7.693000,7.693000,7.693000,7.693000,0
2020-06-05,7.800800,7.800800,7.800800,7.800800,7.800800,0
